store_id,source,cid
158527,FLEXOFFER,158527.1.4D5
159468,FLEXOFFER,159468.1.3663
162750,FLEXOFFER,162750.156074.63235322F430017
171105,FLEXOFFER,171105.1.B4F0
172122,FLEXOFFER,172122.156074.815D5727FF79F9D1
181293,FLEXOFFER,181293.156074.E474BA81234AD025
188587,FLEXOFFER,188587.1.920D
192065,FLEXOFFER,192065.156052.219F
200434,FLEXOFFER,200434.156074.7A6D0F7C12820A28
204122,FLEXOFFER,204122.156052.207C
157993,FLEXOFFER,157993.156074.8C0134638C25338F
25003,LINKSHARE,
35300,LINKSHARE,
41094,LINKSHARE,
41132,LINKSHARE,
43322,LINKSHARE,
